Date,diff,height,value,Close
2018-11-28,10819962815.4625,295890,4157462.75870193,21.73
2018-11-28,10819962815.4625,295891,4157156.18138652,21.73
2018-11-28,10819962815.4625,295892,4157076.80649295,21.73
2018-11-28,10819962815.4625,295893,4157408.91632645,21.73
2018-11-28,10819962815.4625,295894,4157424.09475522,21.73
2018-11-28,10819962815.4625,295895,4157124.39072258,21.73
2018-11-28,10819962815.4625,295896,4157029.6668651,21.73
2018-11-28,10819962815.4625,295897,4157460.47806924,21.73
2018-11-28,10819962815.4625,295898,4159032.82008027,21.73
2018-11-28,10819962815.4625,295899,4158959.95735637,21.73
2018-11-28,10819962815.4625,295900,4158849.41728673,21.73
2018-11-28,10819962815.4625,295901,4158549.46004164,21.73
2018-11-28,10819962815.4625,295902,4158051.34016252,21.73
2018-11-28,10819962815.4625,295903,4158888.19804756,21.73
2018-11-28,10819962815.4625,295904,4158794.36677067,21.73
2018-11-28,10819962815.4625,295905,4158693.63637789,21.73
2018-11-28,10819962815.4625,295906,4158710.44278387,21.73
2018-11-28,10819962815.4625,295907,4158405.44627492,21.73
2018-11-28,10819962815.4625,295908,4158730.52797851,21.73
2018-11-28,10819962815.4625,295909,4158421.17540265,21.73
2018-11-28,10819962815.4625,295910,4158141.36547472,21.73
2018-11-28,10819962815.4625,295911,4158264.51273133,21.73
2018-11-28,10819962815.4625,295912,4158068.41202893,21.73
2018-11-28,10819962815.4625,295913,4158694.29183932,21.73
2018-11-28,10819962815.4625,295914,4158397.9685741,21.73
2018-11-28,10819962815.4625,295915,4158094.55596586,21.73
2018-11-28,10819962815.4625,295916,4157793.56774855,21.73
2018-11-28,10819962815.4625,295917,4158113.45636962,21.73
2018-11-28,10819962815.4625,295918,4158216.25376888,21.73
2018-11-28,10819962815.4625,295919,4157914.43600594,21.73
2018-11-28,9928413637.10395,295920,4158237.46485343,21.73
2018-11-28,9928413637.10395,295921,4158133.50589977,21.73
2018-11-28,9928413637.10395,295922,4157726.77630714,21.73
2018-11-28,9928413637.10395,295923,4157316.60519269,21.73
2018-11-28,9928413637.10395,295924,4158888.83024436,21.73
2018-11-28,9928413637.10395,295925,4160462.12523046,21.73
2018-11-28,9928413637.10395,295926,4162020.39966694,21.73
2018-11-28,9928413637.10395,295927,4163595.3835703,21.73
2018-11-28,9928413637.10395,295928,4165154.90266727,21.73
2018-11-28,9928413637.10395,295929,4166718.38037333,21.73
2018-11-28,9928413637.10395,295930,4168290.05014256,21.73
2018-11-28,9928413637.10395,295931,4169537.52863932,21.73
2018-11-28,9928413637.10395,295932,4169642.63439246,21.73
2018-11-28,9928413637.10395,295933,4170584.36162107,21.73
2018-11-28,9928413637.10395,295934,4170277.90799197,21.73
2018-11-28,9928413637.10395,295935,4169965.26551449,21.73
2018-11-28,9928413637.10395,295936,4169670.8595545,21.73
2018-11-28,9928413637.10395,295937,4169477.01921111,21.73
2018-11-28,9928413637.10395,295938,4169376.31305424,21.73
2018-11-28,9928413637.10395,295939,4169166.88441487,21.73
2018-11-28,9928413637.10395,295940,4169061.27825235,21.73
2018-11-28,9928413637.10395,295941,4169386.16949944,21.73
2018-11-28,9928413637.10395,295942,4169300.15401432,21.73
2018-11-28,9928413637.10395,295943,4169099.07983286,21.73
2018-11-28,9928413637.10395,295944,4169424.50295583,21.73
2018-11-28,9928413637.10395,295945,4169310.92494586,21.73
2018-11-28,9928413637.10395,295946,4169332.42099806,21.73
2018-11-28,9928413637.10395,295947,4169232.61981797,21.73
2018-11-28,9928413637.10395,295948,4169250.2680521,21.73
2018-11-28,9928413637.10395,295949,4169152.75420704,21.73
2018-11-28,9928413637.10395,295950,4168752.82830564,21.73
